fare_id,price,currency_type,payment_method,transfers,agency_id
1,1.30,EUR,0,0,71
2,0.80,EUR,0,0,71
3,1.80,EUR,0,0,71
4,1.90,EUR,0,0,71
5,0.70,EUR,0,0,71
6,2.30,EUR,0,0,71
7,1.60,EUR,0,0,71
8,2.10,EUR,0,0,71
9,2.00,EUR,0,0,71
10,1.10,EUR,0,0,71
11,1.20,EUR,0,0,71
12,1.00,EUR,0,0,71
13,1.40,EUR,0,0,71
14,0.90,EUR,0,0,71
15,2.40,EUR,0,0,71
16,0.50,EUR,0,0,71
17,1.70,EUR,0,0,71
18,0.60,EUR,0,0,71
19,1.50,EUR,0,0,71
20,2.20,EUR,0,0,71
21,1.55,EUR,0,0,100047
22,2.65,EUR,0,0,100047
23,0.85,EUR,0,0,100047
24,1.95,EUR,0,0,100047
25,0.65,EUR,0,0,100047
26,2.20,EUR,0,0,100047
27,2.00,EUR,0,0,100047
28,2.15,EUR,0,0,100047
29,1.90,EUR,0,0,100047
30,1.75,EUR,0,0,100047
31,0.90,EUR,0,0,100047
32,1.00,EUR,0,0,100047
33,3.00,EUR,0,0,100047
34,1.25,EUR,0,0,100047
35,2.80,EUR,0,0,100047
36,2.85,EUR,0,0,100047
37,1.10,EUR,0,0,100047
38,2.60,EUR,0,0,100047
39,2.50,EUR,0,0,100047
40,1.20,EUR,0,0,100047
41,2.35,EUR,0,0,100047
42,0.70,EUR,0,0,100047
43,1.15,EUR,0,0,100047
44,0.75,EUR,0,0,100047
45,2.10,EUR,0,0,100047
46,1.05,EUR,0,0,100047
47,2.75,EUR,0,0,100047
48,1.50,EUR,0,0,100047
49,1.45,EUR,0,0,100047
50,0.80,EUR,0,0,100047
51,1.60,EUR,0,0,100047
52,1.85,EUR,0,0,100047
53,1.65,EUR,0,0,100047
54,2.55,EUR,0,0,100047
55,1.30,EUR,0,0,100047
56,2.30,EUR,0,0,100047
57,2.90,EUR,0,0,100047
58,0.95,EUR,0,0,100047
59,1.40,EUR,0,0,100047
60,2.95,EUR,0,0,100047
61,2.25,EUR,0,0,100047
62,1.70,EUR,0,0,100047
63,2.05,EUR,0,0,100047
64,2.40,EUR,0,0,100047
65,1.80,EUR,0,0,100047
66,1.35,EUR,0,0,100047
67,2.45,EUR,0,0,100047
68,1.35,EUR,0,0,60
69,0.60,EUR,0,0,60
70,0.65,EUR,0,0,60
71,1.00,EUR,0,0,60
72,1.05,EUR,0,0,60
73,0.90,EUR,0,0,60
74,2.00,EUR,0,0,60
75,1.25,EUR,0,0,60
76,1.15,EUR,0,0,60
77,1.65,EUR,0,0,60
78,1.20,EUR,0,0,60
79,1.40,EUR,0,0,60
80,1.10,EUR,0,0,60
81,1.80,EUR,0,0,60
82,1.45,EUR,0,0,60
83,2.05,EUR,0,0,60
84,1.30,EUR,0,0,60
85,0.80,EUR,0,0,60
86,1.90,EUR,0,0,60
87,2.25,EUR,0,0,60
88,0.95,EUR,0,0,60
89,0.75,EUR,0,0,60
90,2.30,EUR,0,0,60
91,1.60,EUR,0,0,60
92,0.85,EUR,0,0,60
93,0.70,EUR,0,0,60
94,2.40,EUR,0,0,60
95,1.55,EUR,0,0,60
96,1.75,EUR,0,0,60
97,1.50,EUR,0,0,60
98,2.15,EUR,0,0,60
99,2.35,EUR,0,0,60
100,1.95,EUR,0,0,60
101,1.70,EUR,0,0,60
102,1.85,EUR,0,0,60
103,2.10,EUR,0,0,60
104,2.45,EUR,0,0,60
105,2.55,EUR,0,0,60
106,2.20,EUR,0,0,60
107,0.80,EUR,0,0,100046
108,1.05,EUR,0,0,100046
109,1.30,EUR,0,0,100046
110,0.90,EUR,0,0,100046
111,1.55,EUR,0,0,100046
112,1.00,EUR,0,0,100046
113,1.15,EUR,0,0,100046
114,1.35,EUR,0,0,100046
115,1.25,EUR,0,0,100046
116,1.40,EUR,0,0,100046
117,1.20,EUR,0,0,100046
118,0.85,EUR,0,0,100046
119,1.45,EUR,0,0,100046
120,1.05,EUR,0,0,71
121,1.35,EUR,0,0,71
122,0.75,EUR,0,0,71
123,0.85,EUR,0,0,71
124,0.95,EUR,0,0,71
125,1.15,EUR,0,0,71
126,1.25,EUR,0,0,71
127,1.45,EUR,0,0,71
128,0.90,EUR,0,0,99
129,0.50,EUR,0,0,317
130,1.30,EUR,0,0,317
131,0.70,EUR,0,0,317
132,1.50,EUR,0,0,317
133,0.90,EUR,0,0,317
134,0.80,EUR,0,0,317
135,1.00,EUR,0,0,317
136,2.30,EUR,0,0,317
137,1.10,EUR,0,0,317
138,1.20,EUR,0,0,317
139,1.70,EUR,0,0,317
140,1.40,EUR,0,0,317
141,1.90,EUR,0,0,317
142,0.60,EUR,0,0,317
143,1.80,EUR,0,0,317
144,2.10,EUR,0,0,317
145,2.20,EUR,0,0,317
146,1.60,EUR,0,0,317
147,2.00,EUR,0,0,317
148,0.60,EUR,0,0,219
149,0.95,EUR,0,0,219
150,1.10,EUR,0,0,219
151,1.05,EUR,0,0,219
152,0.85,EUR,0,0,219
153,1.60,EUR,0,0,219
154,2.10,EUR,0,0,219
155,2.70,EUR,0,0,219
156,1.65,EUR,0,0,219
157,1.20,EUR,0,0,219
158,1.75,EUR,0,0,219
159,2.80,EUR,0,0,219
160,1.00,EUR,0,0,219
161,0.70,EUR,0,0,219
162,1.40,EUR,0,0,219
163,0.90,EUR,0,0,219
164,0.75,EUR,0,0,219
165,1.30,EUR,0,0,219
166,1.45,EUR,0,0,219
167,1.25,EUR,0,0,219
168,2.25,EUR,0,0,219
169,2.30,EUR,0,0,219
170,0.65,EUR,0,0,219
171,2.05,EUR,0,0,219
172,1.55,EUR,0,0,219
173,0.80,EUR,0,0,219
174,1.50,EUR,0,0,219
